"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2021","0.5714","0.6302","0.6302","0.5586","279.45K","-9.33%"
"Dec 02, 2021","0.6302","0.6581","0.6581","0.5744","204.75K","-4.24%"
"Dec 01, 2021","0.6581","0.6837","0.6895","0.6497","141.19K","-3.74%"
"Nov 30, 2021","0.6837","0.7421","0.7421","0.6837","170.89K","-7.87%"
"Nov 29, 2021","0.7421","0.7783","0.7854","0.7305","440.91K","-4.66%"
"Nov 28, 2021","0.7783","0.7016","0.7849","0.6058","125.54K","10.94%"
"Nov 27, 2021","0.7016","0.7021","0.7305","0.6560","60.84K","-0.08%"
"Nov 26, 2021","0.7021","0.8371","0.8545","0.6928","369.24K","-16.13%"
"Nov 25, 2021","0.8371","0.8886","0.9572","0.7697","650.70K","-5.79%"
"Nov 24, 2021","0.8886","0.7761","0.9008","0.7683","425.48K","14.50%"
"Nov 23, 2021","0.7761","0.7948","0.7948","0.7471","156.43K","-2.35%"
"Nov 22, 2021","0.7948","0.7979","0.8905","0.7523","287.90K","-1.92%"
"Nov 21, 2021","0.8103","0.9008","0.9014","0.7991","585.13K","-10.04%"
"Nov 20, 2021","0.9008","0.9232","0.9264","0.8809","459.17K","-2.43%"
"Nov 19, 2021","0.9232","0.8595","0.9441","0.8595","692.09K","7.41%"
"Nov 18, 2021","0.8595","0.9513","0.9741","0.8394","1.54M","-9.64%"
"Nov 17, 2021","0.9513","0.8109","0.9803","0.7612","3.07M","17.31%"
"Nov 16, 2021","0.8109","0.7284","0.8384","0.7099","2.50M","11.33%"
"Nov 15, 2021","0.7284","0.7946","0.8878","0.7260","1.17M","-8.33%"
"Nov 14, 2021","0.7946","0.5634","0.7946","0.5634","864.99K","41.02%"
"Nov 13, 2021","0.5634","0.5726","0.6019","0.5634","248.13K","-1.60%"
"Nov 12, 2021","0.5726","0.5385","0.5790","0.5318","172.61K","6.33%"
"Nov 11, 2021","0.5385","0.4976","0.5595","0.4948","276.13K","8.22%"
"Nov 10, 2021","0.4976","0.5001","0.5378","0.4843","197.02K","-0.49%"
"Nov 09, 2021","0.5001","0.4897","0.5129","0.4814","60.37K","2.12%"
"Nov 08, 2021","0.4897","0.5013","0.5018","0.4597","49.70K","-2.30%"
"Nov 07, 2021","0.5013","0.5025","0.5258","0.4999","18.53K","-0.25%"
"Nov 06, 2021","0.5025","0.5306","0.5347","0.4673","101.36K","-5.30%"
"Nov 05, 2021","0.5306","0.4677","0.5520","0.4659","387.91K","13.45%"
"Nov 04, 2021","0.4677","0.4458","0.4786","0.4115","179.71K","4.91%"
"Nov 03, 2021","0.4458","0.4790","0.4792","0.4349","64.70K","-6.92%"
"Nov 02, 2021","0.4790","0.4212","0.4868","0.4153","296.43K","13.73%"
"Nov 01, 2021","0.4212","0.3909","0.4509","0.3909","297.74K","7.74%"
"Oct 31, 2021","0.3909","0.3843","0.5328","0.3753","991.78K","1.72%"
"Oct 30, 2021","0.3843","0.3613","0.3896","0.3464","246.71K","6.36%"
"Oct 29, 2021","0.3613","0.3373","0.3694","0.3373","52.43K","7.14%"
"Oct 28, 2021","0.3373","0.3116","0.3391","0.3116","75.56K","8.19%"
"Oct 27, 2021","0.3117","0.3152","0.3304","0.2835","387.88K","-1.11%"
"Oct 26, 2021","0.3152","0.3094","0.3263","0.3091","80.11K","1.87%"
