"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2019","0.0337","0.0342","0.0348","0.0331","84.71M","-2.06%"
"Sep 20, 2019","0.0344","0.0330","0.0348","0.0326","85.03M","4.25%"
"Sep 19, 2019","0.0330","0.0337","0.0339","0.0320","81.79M","-2.11%"
"Sep 18, 2019","0.0337","0.0334","0.0343","0.0323","82.12M","0.93%"
"Sep 17, 2019","0.0334","0.0322","0.0339","0.0317","80.41M","3.66%"
"Sep 16, 2019","0.0322","0.0318","0.0328","0.0310","85.13M","1.35%"
"Sep 15, 2019","0.0318","0.0317","0.0329","0.0314","83.07M","0.25%"
"Sep 14, 2019","0.0317","0.0308","0.0332","0.0303","76.54M","2.89%"
"Sep 13, 2019","0.0308","0.0308","0.0313","0.0303","72.99M","-0.61%"
"Sep 12, 2019","0.0310","0.0312","0.0318","0.0308","83.64M","-0.60%"
"Sep 11, 2019","0.0312","0.0324","0.0331","0.0310","57.24M","-3.69%"
"Sep 10, 2019","0.0324","0.0325","0.0338","0.0318","45.23M","-0.37%"
"Sep 09, 2019","0.0325","0.0319","0.0326","0.0313","34.53M","1.94%"
"Sep 08, 2019","0.0319","0.0320","0.0331","0.0315","41.54M","-0.31%"
"Sep 07, 2019","0.0320","0.0316","0.0320","0.0310","36.70M","1.26%"
"Sep 06, 2019","0.0316","0.0330","0.0330","0.0307","45.20M","-4.32%"
"Sep 05, 2019","0.0330","0.0346","0.0380","0.0329","53.53M","-4.67%"
"Sep 04, 2019","0.0346","0.0315","0.0408","0.0314","60.84M","9.81%"
"Sep 03, 2019","0.0315","0.0315","0.0329","0.0312","29.14M","0.00%"
"Sep 02, 2019","0.0315","0.0316","0.0319","0.0307","40.78M","-0.32%"
"Sep 01, 2019","0.0316","0.0320","0.0322","0.0308","46.96M","-1.30%"
"Aug 31, 2019","0.0320","0.0318","0.0324","0.0314","43.15M","0.55%"
"Aug 30, 2019","0.0318","0.0313","0.0322","0.0307","29.16M","1.68%"
"Aug 29, 2019","0.0313","0.0318","0.0318","0.0303","39.35M","-1.53%"
"Aug 28, 2019","0.0318","0.0352","0.0357","0.0311","49.56M","-9.70%"
"Aug 27, 2019","0.0352","0.0354","0.0362","0.0347","66.69M","-0.56%"
"Aug 26, 2019","0.0354","0.0359","0.0363","0.0350","46.81M","-1.34%"
"Aug 25, 2019","0.0359","0.0379","0.0382","0.0358","39.68M","-5.32%"
"Aug 24, 2019","0.0379","0.0347","0.0381","0.0347","35.27M","9.36%"
"Aug 23, 2019","0.0347","0.0345","0.0354","0.0340","34.23M","0.45%"
"Aug 22, 2019","0.0345","0.0346","0.0350","0.0330","34.64M","-0.23%"
"Aug 21, 2019","0.0346","0.0349","0.0364","0.0333","37.63M","-0.97%"
"Aug 20, 2019","0.0349","0.0376","0.0377","0.0342","43.73M","-7.05%"
"Aug 19, 2019","0.0376","0.0369","0.0377","0.0362","64.77M","1.80%"
"Aug 18, 2019","0.0369","0.0355","0.0373","0.0349","58.74M","3.94%"
"Aug 17, 2019","0.0355","0.0346","0.0361","0.0341","77.83M","2.33%"
"Aug 16, 2019","0.0347","0.0360","0.0364","0.0345","74.23M","-3.58%"
"Aug 15, 2019","0.0360","0.0369","0.0374","0.0338","76.90M","-2.44%"
"Aug 14, 2019","0.0369","0.0406","0.0407","0.0363","75.88M","-9.19%"
"Aug 13, 2019","0.0406","0.0400","0.0409","0.0390","66.54M","1.50%"
"Aug 12, 2019","0.0400","0.0406","0.0416","0.0400","59.89M","-1.41%"
"Aug 11, 2019","0.0406","0.0396","0.0408","0.0390","55.48M","2.52%"
"Aug 10, 2019","0.0396","0.0421","0.0431","0.0382","75.30M","-5.92%"
"Aug 09, 2019","0.0421","0.0410","0.0446","0.0400","79.20M","2.58%"
"Aug 08, 2019","0.0410","0.0398","0.0428","0.0397","73.65M","3.06%"
"Aug 07, 2019","0.0398","0.0384","0.0421","0.0381","74.78M","3.43%"
"Aug 06, 2019","0.0385","0.0387","0.0401","0.0378","80.90M","-0.61%"
"Aug 05, 2019","0.0387","0.0392","0.0401","0.0387","54.62M","-1.23%"
"Aug 04, 2019","0.0392","0.0403","0.0406","0.0390","26.21M","-2.73%"
"Aug 03, 2019","0.0403","0.0403","0.0426","0.0403","49.21M","0.00%"
